# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
21003,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
21011,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
68304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68302,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
68300,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
68298,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
68299,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
R1182,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20944,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20837,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20881,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20445,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20549,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20369,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20506,9.164724,13.855379,11.571095,-7.743261,-32.650181,29.510861
20367,8.934361,13.863828,11.571095,-7.743261,-31.477878,27.463624
T62463027880,0.000000,0.000000,-0.007887,-0.012284,0.000000,0.000000
20286,8.934361,13.863828,11.578982,-7.730978,-31.477878,27.463624
20248,8.283707,13.876777,11.775761,-7.403599,-27.567449,20.629362
20145,8.283707,13.876777,11.775761,-7.403599,-27.567449,20.629362
20129,0.028437,-0.000716,0.000000,0.000000,0.000000,0.000000
F8944,0.028437,-0.000716,0.000000,0.000000,0.000000,0.000000
20130,0.028437,-0.000716,0.000000,0.000000,0.000000,0.000000
T62463023775,0.028437,-0.000716,0.000000,0.000000,0.000000,0.000000
20050,8.255271,13.877493,11.775761,-7.403599,-27.567449,20.629362
T62463022676,0.000000,0.000000,-0.007884,-0.012284,0.000000,0.000000
19663,8.255271,13.877493,11.783645,-7.391316,-27.567449,20.629362
T62463021663,0.000000,0.000000,0.000000,0.000000,-0.006652,0.013007
19935,8.255271,13.877493,11.783645,-7.391316,-26.910699,19.479046
T62463020670,0.000000,0.000000,-0.007883,-0.012283,0.000000,0.000000
19597,8.255271,13.877493,11.791529,-7.379032,-26.910699,19.479046
19852,8.255271,13.877493,11.829046,-7.318126,-26.910699,19.479046
T62463019414,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19850,0.000000,0.000000,0.000000,0.000000,-0.104580,0.184232
F7573,0.000000,0.000000,0.000000,0.000000,-0.104580,0.184232
19851,0.000000,0.000000,0.000000,0.000000,-0.104580,0.184232
T62463019467,0.000000,0.000000,0.000000,0.000000,-0.104580,0.184232
19848,0.000000,0.000000,0.000000,0.000000,-0.812661,1.424869
F7944,0.000000,0.000000,0.000000,0.000000,-0.812661,1.424869
19849,0.000000,0.000000,0.000000,0.000000,-0.812661,1.424869
19592,0.000000,0.000000,0.000000,0.000000,-0.812661,1.424869
19964,0.000000,0.000000,0.000000,0.000000,-0.812661,1.424869
T62463022289,0.000000,0.000000,0.000000,0.000000,-0.113980,0.200695
20061,0.000000,0.000000,0.000000,0.000000,-0.698681,1.224174
20132,0.000000,0.000000,0.000000,0.000000,-0.698681,1.224174
T62463024257,0.000000,0.000000,0.000000,0.000000,-0.698681,1.224174
19837,0.301569,-0.010756,0.000000,0.000000,0.000000,0.000000
F7582,0.301569,-0.010756,0.000000,0.000000,0.000000,0.000000
19770,0.301569,-0.010756,0.000000,0.000000,0.000000,0.000000
T62463017479,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19750,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
T62463017451,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19583,0.258587,-0.009319,0.000000,0.000000,0.000000,0.000000
T62463015557,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19342,0.029118,-0.001422,0.000000,0.000000,0.000000,0.000000
T62463013576,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19399,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
T62463012540,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19584,0.201046,-0.007171,0.000000,0.000000,0.000000,0.000000
19483,0.042982,-0.001437,0.000000,0.000000,0.000000,0.000000
T62463014734,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19474,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
T62463013737,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
18573,0.143506,-0.005023,0.000000,0.000000,0.000000,0.000000
T62463016837,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19688,0.128947,-0.004312,0.000000,0.000000,0.000000,0.000000
T62474196023,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19558,0.100523,-0.003586,0.000000,0.000000,0.000000,0.000000
T62474196103,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19560,0.071405,-0.002163,0.000000,0.000000,0.000000,0.000000
T62474196213,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19683,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
T62474196353,0.028423,-0.000726,0.000000,0.000000,0.000000,0.000000
19682,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
T62474197215,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19559,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
T62474197105,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
18572,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
T62463016634,0.014559,-0.000711,0.000000,0.000000,0.000000,0.000000
19815,7.939143,13.888960,11.829046,-7.318126,-25.993458,17.869945
T62463018249,0.000000,0.000000,-0.007881,-0.012283,0.000000,0.000000
19816,0.000000,0.000000,0.000000,0.000000,-0.571372,1.002661
F5815,0.000000,0.000000,0.000000,0.000000,-0.571372,1.002661
19563,0.000000,0.000000,0.000000,0.000000,-0.571372,1.002661
T62463019253,0.000000,0.000000,0.000000,0.000000,-0.312481,0.548235
19237,0.000000,0.000000,0.000000,0.000000,-0.258892,0.454425
T62463021200,0.000000,0.000000,0.000000,0.000000,-0.258892,0.454425
19765,7.939143,13.888960,11.836927,-7.305843,-25.422085,16.867284
19748,7.939143,13.888960,11.836927,-7.305843,-24.516114,15.277864
T62463017045,0.000000,0.000000,-0.007880,-0.012282,0.000000,0.000000
19740,0.029108,-0.001430,0.000000,0.000000,0.000000,0.000000
F7585,0.029108,-0.001429,0.000000,0.000000,0.000000,0.000000
19714,0.029108,-0.001429,0.000000,0.000000,0.000000,0.000000
T62463016077,0.014554,-0.000715,0.000000,0.000000,0.000000,0.000000
18588,0.014554,-0.000715,0.000000,0.000000,0.000000,0.000000
19507,0.014554,-0.000715,0.000000,0.000000,0.000000,0.000000
T62463014050,0.014554,-0.000715,0.000000,0.000000,0.000000,0.000000
19561,0.028413,-0.000733,0.000000,0.000000,0.000000,0.000000
T62463016201,0.028413,-0.000733,0.000000,0.000000,0.000000,0.000000
19731,7.881622,13.891122,11.844807,-7.293561,-24.516114,15.277864
58017,0.426512,-0.001322,-0.000000,-0.000000,0.000000,-0.000000
F7586,0.426512,-0.001322,-0.000000,-0.000000,0.000000,-0.000000
58021,0.426512,-0.001322,-0.000000,-0.000000,0.000000,0.000000
T62463078922,0.426512,-0.001322,0.000000,0.000000,0.000000,0.000000
19589,7.455110,13.892444,11.844807,-7.293561,-24.516114,15.277864
T62463076899,0.000000,0.000000,-0.021740,-0.036336,0.000000,0.000000
